customer_id,account_num,address1,address2,address3,address4,city,state_province,postal_code,country,customer_region_id,phone1,phone2,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,date_accnt_opened,member_card,occupation,houseowner,num_cars_owned
16,87603285908,4864 San Carlos,\N,\N,\N,Camacho,Zacatecas,77787,Mexico,27,698-555-7603,986-555-9424,1919-06-02,M,$50K - $70K,F,2,2,High School Degree,1993-12-17,Bronze,Skilled Manual,Y,2
17,87625473141,2687 Ridge Road,\N,\N,\N,Arcadia,CA,28530,USA,51,771-555-6581,929-555-7260,1928-03-20,S,$90K - $110K,M,3,0,High School Degree,1993-10-23,Bronze,Management,Y,3
18,87637655735,2473 Orchard Way,\N,\N,\N,Altadena,CA,49680,USA,50,121-555-3960,717-555-5324,1914-09-21,M,$30K - $50K,M,3,2,Partial College,1992-10-24,Bronze,Professional,Y,4
19,87650814652,551 Rainier Dr,\N,\N,\N,Oakland,CA,21486,USA,37,217-555-1567,921-555-5446,1953-07-20,S,$70K - $90K,F,1,0,High School Degree,1992-09-21,Bronze,Professional,N,1
20,87653979700,591 Merriewood Drive,\N,\N,\N,Spring Valley,CA,88762,USA,15,617-555-7972,860-555-3536,1974-04-16,S,$10K - $30K,F,2,0,Partial High School,1993-04-02,Normal,Manual,Y,2
21,87663244009,1579 Plaza Rosa,\N,\N,\N,Renton,WA,71442,USA,73,975-555-7865,187-555-2286,1918-11-04,S,$30K - $50K,M,1,0,High School Degree,1992-04-26,Normal,Manual,Y,2
22,87675641200,1873 Lyon Circle,\N,\N,\N,Bellingham,WA,78588,USA,78,610-555-6158,921-555-6608,1947-10-07,M,$30K - $50K,F,4,4,High School Degree,1991-08-08,Golden,Skilled Manual,Y,4
23,87678398489,3114 Notre Dame Ave.,\N,\N,\N,La Jolla,CA,27430,USA,33,444-555-1517,625-555-9824,1916-10-24,S,$30K - $50K,F,2,0,High School Degree,1992-08-12,Silver,Manual,N,3
24,87681713700,6318 Marclair Dr.,\N,\N,\N,Santa Fe,DF,99737,Mexico,109,102-555-7439,721-555-7431,1921-12-04,S,$30K - $50K,F,0,0,High School Degree,1991-05-19,Bronze,Manual,N,3
25,87686740159,7814 Milburn Dr.,\N,\N,\N,Haney,BC,65710,Canada,93,506-555-4589,333-555-7096,1952-09-26,S,$70K - $90K,F,3,0,High School Degree,1991-11-18,Bronze,Professional,N,2
26,87691326700,3928 San Francisco,\N,\N,\N,Burbank,CA,51809,USA,53,425-555-3796,452-555-3332,1954-08-25,S,$10K - $30K,M,0,0,Partial High School,1992-09-21,Normal,Skilled Manual,N,1
27,87700161933,5678 McElroy Court,\N,\N,\N,Anacortes,WA,58052,USA,79,852-555-8574,986-555-1624,1934-03-17,M,$30K - $50K,F,1,1,High School Degree,1991-10-21,Bronze,Manual,Y,3
28,87709978818,2046 Las Palmas,\N,\N,\N,Everett,WA,88974,USA,81,794-555-6410,467-555-9146,1970-03-12,S,$10K - $30K,F,1,0,Partial High School,1993-09-28,Silver,Manual,Y,1
29,87717585563,608 Lincoln Dr.,\N,\N,\N,Oak Bay,BC,90098,Canada,99,583-555-4474,125-555-6067,1937-10-04,S,$10K - $30K,F,2,0,Partial High School,1993-09-01,Normal,Manual,N,1
30,87718932032,7230 Berrellesa Street,\N,\N,\N,Milwaukie,OR,78800,USA,65,548-555-9939,529-555-3217,1917-07-08,S,$50K - $70K,F,4,0,Bachelors Degree,1993-05-09,Bronze,Professional,Y,3
31,87729650139,2144 San Rafael,\N,\N,\N,Concord,CA,63996,USA,46,598-555-1289,448-555-2424,1978-07-02,M,$50K - $70K,F,4,3,Graduate Degree,1991-02-06,Golden,Professional,Y,3
32,87738383412,1676 Greer Ave.,\N,\N,\N,Ladner,BC,99949,Canada,96,937-555-2299,326-555-4120,1930-01-08,S,$10K - $30K,F,2,0,Partial High School,1991-06-23,Normal,Manual,Y,2
33,87742803692,6843 San Simeon Dr.,\N,\N,\N,Santa Cruz,CA,51307,USA,40,111-555-1278,268-555-1956,1971-07-23,M,$30K - $50K,F,2,2,High School Degree,1992-08-15,Bronze,Skilled Manual,N,2
34,87767067000,6629 Polson Circle,\N,\N,\N,La Mesa,CA,53422,USA,11,361-555-7656,957-555-9020,1919-10-21,M,$50K - $70K,F,3,1,Bachelors Degree,1990-02-27,Silver,Management,Y,2
35,87771052718,Rt. 470 Box A,\N,\N,\N,Merida,Yucatan,69940,Mexico,26,457-555-5263,261-555-9142,1920-04-17,M,$30K - $50K,M,5,1,Partial College,1992-09-21,Bronze,Skilled Manual,Y,3
36,87788449525,7403 N. Broadway,\N,\N,\N,Oregon City,OR,38217,USA,68,969-555-4928,972-555-5835,1915-11-22,S,$10K - $30K,M,1,0,Partial High School,1990-06-24,Normal,Skilled Manual,N,1
37,87797676324,5734 Ashford Court,\N,\N,\N,Seattle,WA,93604,USA,18,188-555-1163,299-555-4585,1961-04-06,S,$50K - $70K,M,0,0,Bachelors Degree,1992-06-02,Bronze,Professional,N,3
38,87801286578,8684 Military East,\N,\N,\N,Arcadia,CA,28043,USA,51,722-555-8456,134-555-8906,1958-04-09,S,$30K - $50K,M,1,0,Partial College,1993-06-08,Bronze,Management,N,1
39,87808394432,7270 Pepperidge Way,\N,\N,\N,Lebanon,OR,49592,USA,72,203-555-6978,384-555-6285,1959-01-23,M,$90K - $110K,F,4,2,Graduate Degree,1992-03-10,Bronze,Professional,Y,2
40,87814209461,475 Santa Maria,\N,\N,\N,Santa Cruz,CA,49192,USA,40,761-555-3899,719-555-7549,1926-10-27,S,$110K - $130K,M,1,0,Partial College,1992-08-14,Bronze,Professional,Y,2
41,87818307900,1970 Napa Ct.,\N,\N,\N,W. Linn,OR,36903,USA,66,616-555-6966,443-555-9474,1919-04-19,S,$110K - $130K,M,1,0,High School Degree,1990-10-10,Bronze,Professional,N,2
42,87849287390,8084 Cardiff Drive,\N,\N,\N,San Andres,DF,94169,Mexico,106,535-555-6174,562-555-5709,1965-03-27,M,$70K - $90K,F,3,3,Bachelors Degree,1993-07-21,Golden,Management,Y,3
43,87855359911,9833 Mt. Dias Blv.,\N,\N,\N,Burbank,CA,48042,USA,53,962-555-1952,196-555-4002,1977-05-16,S,$50K - $70K,F,2,0,Bachelors Degree,1993-03-19,Bronze,Professional,N,4
44,87868926525,6202 Seeno St.,\N,\N,\N,Bellflower,CA,52673,USA,55,904-555-8788,577-555-2523,1917-05-20,S,$30K - $50K,M,1,0,High School Degree,1992-01-07,Bronze,Skilled Manual,Y,2
45,87869548800,862 The Alameda,\N,\N,\N,Renton,WA,71706,USA,73,693-555-6852,235-555-8445,1916-08-09,S,$50K - $70K,M,5,0,Bachelors Degree,1994-05-07,Golden,Management,Y,2
46,87894418239,7484 Roundtree Drive,\N,\N,\N,Mill Valley,CA,68791,USA,38,658-555-3316,639-555-5595,1928-02-10,M,$70K - $90K,F,1,1,Graduate Degree,1992-11-22,Silver,Professional,N,2
47,87894944000,5053 Loftus Road,\N,\N,\N,Oak Bay,BC,53986,Canada,99,708-555-3666,558-555-4802,1951-09-01,M,$50K - $70K,M,0,0,Bachelors Degree,1992-05-17,Bronze,Professional,N,1
48,87901939153,1930 Almondwood Drive,\N,\N,\N,Camacho,Zacatecas,89939,Mexico,27,696-555-7759,324-555-4238,1927-10-17,M,$50K - $70K,M,0,0,Bachelors Degree,1994-05-04,Bronze,Professional,N,3
49,87902239561,9752 Jeanne Circle,\N,\N,\N,Arcadia,CA,41297,USA,51,770-555-6738,266-555-2074,1930-12-02,S,$30K - $50K,F,4,0,High School Degree,1992-04-20,Bronze,Skilled Manual,N,2
50,87910291552,9539 Glenside Dr,\N,\N,\N,Altadena,CA,43412,USA,50,119-555-4116,715-555-5480,1922-03-09,S,$110K - $130K,M,4,0,Partial High School,1993-06-03,Bronze,Professional,Y,4
51,87923139333,7616 Honey Court,\N,\N,\N,Oakland,CA,33639,USA,37,216-555-1723,920-555-5602,1955-05-02,M,$90K - $110K,F,4,2,Graduate Degree,1993-12-05,Bronze,Professional,N,3
52,87939313100,7657 H St.,\N,\N,\N,Tixapan,DF,19185,Mexico,107,727-555-1388,731-555-2295,1912-09-04,S,$70K - $90K,F,3,0,Bachelors Degree,1994-03-19,Silver,Professional,N,2
53,87952010600,5988 Red Leaf,\N,\N,\N,Oak Bay,BC,83595,Canada,99,298-555-3541,409-555-6962,1932-12-24,M,$70K - $90K,M,4,2,Graduate Degree,1993-07-10,Normal,Management,Y,4
54,87954998600,8938 West Hookston Road,\N,\N,\N,Metchosin,BC,18033,Canada,104,832-555-1834,244-555-2284,1961-09-24,S,$30K - $50K,F,0,0,Partial College,1992-07-24,Bronze,Professional,Y,3
55,87961350083,181 Gainsborough Drive,\N,\N,\N,Grossmont,CA,39583,USA,17,313-555-9355,733-555-3320,1924-02-08,M,$10K - $30K,M,3,2,Partial High School,1992-03-10,Normal,Skilled Manual,Y,1
56,87965223193,3385 Crestview Drive,\N,\N,\N,Imperial Beach,CA,39182,USA,14,871-555-6277,829-555-9927,1935-11-21,S,$10K - $30K,M,3,0,Partial High School,1990-04-11,Normal,Manual,N,2
57,87978752300,6912 Laguna St.,\N,\N,\N,San Andres,DF,26893,Mexico,106,375-555-3427,201-555-5934,1960-12-10,S,$10K - $30K,M,3,0,Partial High School,1991-05-15,Golden,Manual,Y,0
58,87986992001,371 Ahneita Dr.,\N,\N,\N,Oakland,CA,65362,USA,37,294-555-2634,560-555-5827,1956-04-04,S,$30K - $50K,F,3,0,Partial High School,1992-11-24,Bronze,Skilled Manual,N,3
59,88010123400,4776 Kentucky Drive,\N,\N,\N,Burnaby,BC,70204,Canada,92,721-555-7412,855-555-9462,1942-06-01,M,$30K - $50K,M,5,5,High School Degree,1993-03-19,Bronze,Manual,Y,3
60,88018041300,1145 Paraiso Ct.,\N,\N,\N,Langley,BC,74834,Canada,94,663-555-5248,336-555-7984,1914-02-02,S,$30K - $50K,M,3,0,Partial College,1990-09-04,Silver,Skilled Manual,Y,3
61,88049879074,3148 Rose Street,\N,\N,\N,Tacoma,WA,93868,USA,84,451-555-3312,894-555-4905,1945-02-15,M,$70K - $90K,M,1,0,Bachelors Degree,1991-02-26,Bronze,Professional,N,1
62,88067190100,2427 Notre Dame Ave.,\N,\N,\N,Santa Monica,CA,64660,USA,49,656-555-3434,636-555-5712,1931-06-25,M,$30K - $50K,M,1,1,High School Degree,1991-05-12,Golden,Skilled Manual,Y,2
63,88081979800,7340 Green St.,\N,\N,\N,Tlaxiaco,Oaxaca,49856,Mexico,30,467-555-9127,317-555-1262,1916-10-13,S,$70K - $90K,F,4,0,Bachelors Degree,1992-06-04,Bronze,Professional,N,2
64,88084045052,6872 Thornwood Dr.,\N,\N,\N,Beaverton,OR,85809,USA,67,814-555-9899,203-555-2721,1932-08-13,S,$10K - $30K,M,4,0,Partial High School,1993-02-26,Normal,Manual,Y,2
65,88096334934,2040 Encino Drive,\N,\N,\N,Metchosin,BC,37167,Canada,104,648-555-5221,145-555-9556,1979-09-07,M,$90K - $110K,F,0,0,Partial College,1990-11-23,Normal,Management,Y,3
66,88112406730,1826 Corte Del Sol,\N,\N,\N,Metchosin,BC,39282,Canada,104,898-555-2599,833-555-7621,1933-08-11,M,$110K - $130K,F,4,4,Partial College,1992-09-03,Silver,Professional,Y,2
67,88115072846,9903 East Leland,\N,\N,\N,Westminster,BC,55800,Canada,91,994-555-9206,799-555-4085,1928-07-01,M,$30K - $50K,M,3,1,Partial College,1991-01-03,Bronze,Skilled Manual,Y,3
68,88118441700,9943 Stonehedge Dr.,\N,\N,\N,Hidalgo,Zacatecas,24077,Mexico,25,606-555-8871,610-555-9778,1917-07-27,S,$30K - $50K,F,0,0,High School Degree,1993-11-13,Silver,Manual,Y,1
69,88137775063,931 Corte De Luna,\N,\N,\N,Los Angeles,CA,79465,USA,3,725-555-5106,837-555-8528,1969-06-17,M,$10K - $30K,M,1,1,Partial High School,1991-03-12,Normal,Skilled Manual,Y,1
70,88144207000,1226 Shoenic,\N,\N,\N,Coronado,CA,13903,USA,8,360-555-3399,910-555-7506,1972-03-26,M,$30K - $50K,M,0,0,High School Degree,1991-07-13,Bronze,Manual,Y,1
71,88161163926,2467 Clearland Circle,\N,\N,\N,La Cruz,Sinaloa,61745,Mexico,29,741-555-1921,260-555-4885,1967-04-08,S,$10K - $30K,M,5,0,Partial High School,1990-11-20,Normal,Manual,N,1
72,88161249756,5671 Bel Air Dr.,\N,\N,\N,Shawnee,BC,35052,Canada,105,398-555-7842,356-555-2492,1940-09-17,M,$10K - $30K,F,5,5,Partial High School,1992-12-03,Normal,Skilled Manual,Y,2
73,88168829679,7166 Brock Lane,\N,\N,\N,Yakima,WA,49055,USA,89,802-555-4992,629-555-7499,1925-02-28,M,$30K - $50K,F,4,3,High School Degree,1992-10-07,Golden,Skilled Manual,Y,3
74,88172026872,3281 Hillview Dr.,\N,\N,\N,Ballard,WA,87524,USA,20,722-555-4199,987-555-7392,1965-04-03,S,$50K - $70K,M,3,0,Bachelors Degree,1992-03-24,Bronze,Professional,Y,3
75,88182830810,5030 Blue Ridge Dr.,\N,\N,\N,Lynnwood,WA,35227,USA,75,248-555-8978,383-555-2028,1913-03-25,S,$30K - $50K,F,3,0,High School Degree,1990-03-17,Bronze,Manual,N,3
76,88185078501,1399 Firestone Drive,\N,\N,\N,Port Orchard,WA,66150,USA,77,191-555-6813,764-555-9549,1917-06-23,S,$70K - $90K,F,1,0,High School Degree,1994-05-26,Normal,Professional,N,1
77,88203880800,6058 Hill Street,#4,\N,\N,Downey,CA,85184,USA,58,569-555-5452,351-555-1703,1921-06-17,S,$50K - $70K,M,2,0,Bachelors Degree,1992-06-18,Normal,Professional,Y,4
78,88243577480,2681 Eagle Peak,\N,\N,\N,Salem,OR,55976,USA,23,774-555-5574,754-555-7853,1940-06-24,M,$10K - $30K,M,1,1,Partial High School,1994-05-02,Silver,Manual,Y,1
79,88249907493,7594 Alexander Pl.,\N,\N,\N,Tacoma,WA,41172,USA,84,585-555-2267,435-555-3403,1957-07-10,S,$70K - $90K,M,2,0,Bachelors Degree,1994-06-02,Bronze,Management,Y,4
80,88262524604,7126 Edie Ct.,\N,\N,\N,Lemon Grove,CA,77125,USA,12,812-555-1017,200-555-2838,1946-04-18,S,$70K - $90K,F,1,0,Bachelors Degree,1992-11-11,Bronze,Management,Y,4
81,88265968561,2294 West 39th St.,\N,\N,\N,Milwaukie,OR,28482,USA,65,646-555-5338,143-555-9674,1944-10-25,S,$10K - $30K,M,2,0,Partial High School,1990-05-05,Normal,Skilled Manual,Y,2
82,88275710344,2080 Sycamore Drive,\N,\N,\N,Richmond,CA,30597,USA,35,896-555-2717,831-555-7738,1941-08-10,S,$10K - $30K,F,4,0,Partial High School,1993-03-23,Normal,Skilled Manual,Y,1
83,88284432888,158 Walnut Ave,\N,\N,\N,Arcadia,CA,47116,USA,51,331-555-3981,796-555-4203,1969-03-24,S,$110K - $130K,F,3,0,Partial High School,1994-02-20,Golden,Management,Y,2
84,88304206132,2854 Magda Way,\N,\N,\N,Haney,BC,88099,Canada,93,604-555-8988,608-555-9895,1932-03-05,S,$50K - $70K,M,4,0,Bachelors Degree,1994-08-27,Bronze,Professional,N,3
85,88346847891,1185 Dallis Drive,\N,\N,\N,Novato,CA,70780,USA,42,723-555-5224,835-555-8645,1946-10-19,M,$30K - $50K,M,3,3,High School Degree,1993-08-24,Golden,Skilled Manual,Y,3
86,88352523400,8154 Via Mexico,\N,\N,\N,Bremerton,WA,52198,USA,76,358-555-3517,908-555-7624,1911-03-25,S,$30K - $50K,M,4,0,Partial High School,1992-11-06,Normal,Skilled Manual,Y,4
87,88355388045,6740 Jalisco,\N,\N,\N,N. Vancouver,BC,26768,Canada,97,739-555-2038,258-555-5003,1949-04-15,S,$70K - $90K,F,4,0,High School Degree,1992-09-26,Bronze,Management,N,3
88,88380010700,2601 Cambridge Drive,\N,\N,\N,Milwaukie,OR,26367,USA,65,396-555-7960,466-555-4870,1943-02-11,S,$30K - $50K,F,2,0,High School Degree,1992-09-18,Bronze,Manual,N,4
89,88386346101,4096 San Remo,\N,\N,\N,Woodland Hills,CA,14079,USA,62,912-555-7369,739-555-9877,1974-10-06,S,$70K - $90K,F,4,0,High School Degree,1992-04-16,Bronze,Management,N,2
90,88386882543,7554 Lakeview Pl.,\N,\N,\N,Sooke,BC,78839,Canada,101,832-555-6577,197-555-9770,1976-10-05,M,$70K - $90K,F,2,2,High School Degree,1993-02-19,Bronze,Professional,Y,3
91,88397842049,1960 Via Catanzaro,\N,\N,\N,Long Beach,CA,32712,USA,48,597-555-6013,732-555-8063,1956-04-24,M,$50K - $70K,M,1,1,Bachelors Degree,1990-12-20,Bronze,Professional,N,1
92,88398657441,5672 Hale Dr.,\N,\N,\N,Arcadia,CA,61730,USA,51,540-555-3848,874-555-2927,1934-08-03,M,$30K - $50K,M,4,2,High School Degree,1993-05-07,Bronze,Skilled Manual,Y,4
93,88416295647,332 Laguna Niguel,\N,\N,\N,Woodburn,OR,80763,USA,69,989-555-7255,770-555-3505,1970-03-22,M,$130K - $150K,M,5,4,Bachelors Degree,1993-05-08,Golden,Professional,Y,3
94,88416842818,6954 Garcia Ranch Road,\N,\N,\N,Vancouver,BC,77848,Canada,5,293-555-7377,274-555-9655,1939-09-15,S,$10K - $30K,M,1,0,Partial High School,1993-12-15,Normal,Skilled Manual,Y,1
95,88426868915,4523 Via Cortez,\N,\N,\N,Tlaxiaco,Oaxaca,63043,Mexico,30,471-555-9125,320-555-1260,1930-09-09,S,$130K - $150K,F,2,0,Graduate Degree,1991-09-13,Silver,Professional,Y,2
96,88445172309,1400 Gibrix Drive,\N,\N,\N,Beaverton,OR,98996,USA,67,698-555-7875,986-555-9696,1951-03-15,S,$50K - $70K,M,0,0,Bachelors Degree,1990-10-18,Normal,Management,Y,2
97,88470690800,9222 Roseann Drive,#59,\N,\N,Richmond,BC,50354,Canada,90,532-555-3196,928-555-7532,1923-08-03,M,$50K - $70K,M,4,4,High School Degree,1992-04-21,Golden,Skilled Manual,Y,2
98,88486376400,9009 W 46th St,\N,\N,\N,Richmond,BC,52469,Canada,90,121-555-4232,717-555-5596,1952-03-12,M,$130K - $150K,F,1,1,High School Degree,1990-09-07,Bronze,Management,Y,3
99,88506181836,7086 O St.,\N,\N,\N,Port Orchard,WA,42696,USA,77,217-555-1839,682-555-2060,1934-04-09,S,$30K - $50K,F,3,0,Bachelors Degree,1992-05-28,Bronze,Professional,N,2
100,88506991900,7127 Morengo Court,\N,\N,\N,San Jose,CA,10972,USA,39,490-555-6846,493-555-7753,1929-12-14,M,$90K - $110K,F,2,2,Partial High School,1990-08-06,Silver,Professional,Y,3
101,88507222533,5458 Encino Drive,\N,\N,\N,N. Vancouver,BC,92652,Canada,97,848-555-6739,721-555-6503,1975-04-26,S,$10K - $30K,F,1,0,Partial High School,1993-07-16,Normal,Manual,N,1
102,88530171513,8408 Via Del Sol,\N,\N,\N,Langford,BC,99797,Canada,102,244-555-1375,794-555-5482,1972-05-02,M,$30K - $50K,M,2,0,Bachelors Degree,1990-10-06,Bronze,Professional,N,4
103,88531920313,9650 Valley View Road,\N,\N,\N,Acapulco,Guerrero,48640,Mexico,28,737-555-2156,256-555-5120,1914-05-27,M,$50K - $70K,M,5,3,Bachelors Degree,1992-04-24,Golden,Professional,Y,2
104,88537885546,2855 Playa,\N,\N,\N,Hidalgo,Zacatecas,48239,Mexico,25,394-555-8077,352-555-2727,1952-03-04,M,$30K - $50K,F,1,1,Partial College,1994-11-12,Bronze,Clerical,N,2
105,88539907932,4350 Mota Dr.,\N,\N,\N,National City,CA,35950,USA,9,137-555-8885,625-555-7734,1933-05-12,M,$150K +,M,3,3,Bachelors Degree,1992-02-08,Golden,Management,Y,3
106,88556258678,7808 Brown St.,\N,\N,\N,Long Beach,CA,74419,USA,48,717-555-4435,983-555-7627,1979-03-20,S,$50K - $70K,M,5,0,Bachelors Degree,1991-11-19,Bronze,Professional,Y,2
107,88589957952,2214 Solano,\N,\N,\N,Cliffside,BC,54584,Canada,103,483-555-3870,618-555-5920,1921-05-09,M,$30K - $50K,M,2,2,High School Degree,1990-06-17,Bronze,Manual,Y,4
108,88593557476,8582 San Jose Ave.,\N,\N,\N,Shawnee,BC,59214,Canada,105,425-555-1706,998-555-4442,1931-05-13,M,$90K - $110K,M,1,1,Bachelors Degree,1993-02-21,Bronze,Management,Y,3
109,88597859740,3241 Brock Lane,\N,\N,\N,Newton,BC,76633,Canada,95,214-555-8770,656-555-1363,1929-08-01,S,$50K - $70K,M,2,0,Bachelors Degree,1992-09-19,Bronze,Professional,N,2
110,88604978322,9863 Ridge Place,\N,\N,\N,West Covina,CA,47425,USA,60,179-555-5235,160-555-7513,1942-02-03,S,$10K - $30K,M,3,0,Partial High School,1993-08-02,Normal,Manual,N,1
111,88620250821,4777 Rockne Drive,\N,\N,\N,Palo Alto,CA,32621,USA,41,890-555-1927,979-555-6720,1965-10-21,M,$70K - $90K,F,2,2,Bachelors Degree,1992-02-24,Bronze,Management,Y,2
112,88622546792,4310 Kenston Dr.,\N,\N,\N,Santa Monica,CA,68574,USA,49,217-555-9677,506-555-2499,1948-11-24,M,$30K - $50K,F,4,1,High School Degree,1991-02-11,Bronze,Skilled Manual,Y,3
113,88624070286,9476 Hill Top Rd.,\N,\N,\N,Sooke,BC,19932,Canada,101,291-555-8656,448-555-9335,1964-05-20,M,$110K - $130K,F,2,1,Bachelors Degree,1993-01-27,Bronze,Professional,Y,3
114,88631725311,9263 Mt. McKinley Ct.,\N,\N,\N,Sooke,BC,22047,Canada,101,541-555-6035,237-555-7399,1943-04-16,S,$150K +,F,3,0,High School Degree,1993-03-09,Silver,Professional,Y,2
115,88638226985,620 Woodside Ct.,\N,\N,\N,Altadena,CA,38565,USA,50,330-555-4138,795-555-4359,1977-06-09,S,$90K - $110K,F,3,0,Bachelors Degree,1994-09-12,Silver,Professional,Y,2
116,88648338913,661 Miller Ave.,\N,\N,\N,Burnaby,BC,68422,Canada,92,602-555-9145,845-555-4709,1934-10-11,S,$90K - $110K,M,2,0,High School Degree,1994-08-14,Bronze,Management,N,3
117,88656943440,1648 Eastgate Lane,\N,\N,\N,Albany,OR,62230,USA,71,960-555-9038,833-555-8802,1954-02-04,M,$90K - $110K,F,3,1,Graduate Degree,1994-04-16,Bronze,Professional,Y,3
118,88662506341,4598 Manila Avenue,\N,\N,\N,Bremerton,WA,95667,USA,76,356-555-3673,906-555-7780,1913-10-04,S,$50K - $70K,M,2,0,Bachelors Degree,1993-03-03,Bronze,Professional,Y,2
119,88665478229,3183 Trasher Road,\N,\N,\N,N. Vancouver,BC,18218,Canada,97,737-555-2195,256-555-5159,1957-07-26,S,$10K - $30K,M,4,0,Partial High School,1991-05-21,Normal,Manual,Y,1
120,88673519492,6387 Scenic Avenue,\N,\N,\N,Milwaukie,OR,17817,USA,65,634-555-2773,353-555-2766,1957-01-28,M,$30K - $50K,F,0,0,High School Degree,1990-09-07,Bronze,Skilled Manual,Y,4
121,88683427572,7883 Mitchell Canyon Court,\N,\N,\N,Santa Monica,CA,55288,USA,49,137-555-8923,864-555-2430,1912-02-17,S,$30K - $50K,F,5,0,High School Degree,1994-07-27,Silver,Manual,Y,2
122,88690803647,3997 Via De Luna,\N,\N,\N,Walla Walla,WA,70289,USA,88,718-555-4473,983-555-7666,1920-09-22,M,$30K - $50K,F,4,1,High School Degree,1992-05-19,Bronze,Skilled Manual,N,3
123,88708876371,5747 Shirley Drive,\N,\N,\N,Richmond,CA,24162,USA,35,483-555-3909,618-555-5959,1964-07-08,M,$30K - $50K,F,2,0,High School Degree,1993-08-15,Bronze,Manual,Y,1
124,88719449639,2115 Pasado,\N,\N,\N,Oakland,CA,55084,USA,37,426-555-1745,999-555-4480,1930-09-07,S,$70K - $90K,F,5,0,Bachelors Degree,1991-03-27,Bronze,Professional,N,2
125,88734051585,6774 Bonanza,\N,\N,\N,Bellflower,CA,20209,USA,55,214-555-8809,656-555-1402,1972-12-04,M,$70K - $90K,M,2,2,Bachelors Degree,1991-06-22,Bronze,Professional,Y,3
